,timestamp,amount,merchant,user_location,channel,risk_score
143,2024-02-08T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
144,2024-05-17T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
145,2024-05-06T00:00:00.000,81.7,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
146,2024-04-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
147,2024-04-24T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
148,2024-04-08T00:00:00.000,68.8,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
149,2024-02-09T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
150,2023-09-14T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,OneBank_App,0.82
151,2024-04-08T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
152,2024-03-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
153,2024-03-22T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
154,2024-02-20T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
155,2024-03-12T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
156,2024-03-11T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
157,2024-03-07T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
158,2024-03-04T00:00:00.000,146.2,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
159,2024-02-29T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
160,2024-02-22T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
161,2024-02-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
162,2024-02-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
163,2024-02-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
164,2024-02-13T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
165,2023-09-14T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,OneBank_App,0.82
166,2023-09-14T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,OneBank_App,0.82
167,2023-09-18T00:00:00.000,10,OTHER_MERCHANT_ROUTING,LAGOS_NGR,OneBank_App,0.82
168,2024-06-24T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
169,2023-09-26T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
170,2023-10-03T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
171,2023-10-09T00:00:00.000,154.8,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
172,2023-10-10T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
173,2023-10-13T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
174,2023-10-17T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
175,2023-10-18T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
176,2023-11-03T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
177,2024-01-30T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
178,2023-11-06T00:00:00.000,120.4,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
179,2023-11-06T00:00:00.000,50,OTHER_MERCHANT_ROUTING,LAGOS_NGR,Mobile_App,0.82
